,name,usages
0,MARY,English|Biblical
1,CARL,German|Swedish|Norwegian|Danish|English
2,JOHNSON,English|Eastern African|English
3,SEBASTIAN,German|English|Swedish|Norwegian|Danish|Polish|Finnish|Romanian|Czech
4,GABRIELLE,French|English
5,DOMINO,Popular Culture|English (Rare)
6,EVA,Spanish|Italian|Portuguese|English|Czech|Slovak|German|Dutch|Swedish|Norwegian|Danish|Icelandic|Greek|Slovene|Bulgarian|Croatian|Russian|Georgian|Old Church Slavic|Biblical Latin
7,ALISON,English|French
8,KEL,"English (Modern, Rare)|Albanian"
9,LUCIA,Italian|German|English|Swedish|Norwegian|Danish|Romanian|Slovak|Ancient Roman
10,DANGER,English
11,BERTIE,English
12,AUGUSTE,French|German
13,VIVIAN,English|Swedish|Norwegian|Danish
14,KATHERINE,English
15,ISABELLE,French|English|German|Dutch
16,FANTA,"Swedish (Rare, Archaic)|African|Eastern African|Western African"
17,MELVIN,English
18,DAKOTA,English (Modern)
19,MAY,English
20,FLORENCE,English|French
21,FOREST,English
22,MARINE,French|Georgian
23,MARGOT,French
24,ANTONIA,Italian|Spanish|English|German|Swedish|Norwegian|Danish|Dutch|Romanian|Greek|Croatian|Bulgarian|Ancient Roman
25,TUCKER,English (Modern)
26,GRACIE,English
27,MAGALI,French|Occitan
28,PEGGY,English
29,MELINDA,English|Hungarian
30,MALALA,Pashto|Spanish
31,WILLIAM,English
32,OTTO,German|Swedish|Norwegian|Danish|Dutch|English|Finnish|Ancient Germanic
33,BINTOU,Western African
34,LILIAN,English|French
35,MAXI,Spanish|German
36,PASCAL,French|German|Dutch
37,RAJA,Arabic|Urdu|Tamil|Indian|Telugu|Malayalam|Kannada|Hindi|Marathi|Indonesian
38,SIA,Icelandic|Korean|Various
39,FILOMENA,Italian|Portuguese|Spanish
40,ZACHARIE,French
41,STEWART,English|Scottish
42,DORIS,English|German|Croatian|Ancient Greek|Greek Mythology
43,MARIO,Italian|Spanish|German|Croatian
44,MANTRA,Indian (Parsi)|Sanskrit
45,NOUR,Arabic
46,BRIGID,Irish|Irish Mythology
47,GILMER,American
48,MUSTAFA,Arabic|Turkish
49,SALLY,English
50,SIYAN,na
51,MORTIMER,English
52,BANNER,English (Rare)|English
53,EMIL,Swedish|Norwegian|Danish|German|Romanian|Bulgarian|Czech|Slovak|Polish|Russian|Slovene|Serbian|Croatian|Macedonian|Hungarian|Icelandic|English
54,LORRAINE,English
55,RIGEL,Astronomy
56,LARS,Swedish|Norwegian|Danish|Finnish|Dutch|German
57,QUEEN,English
58,PLATON,Ancient Greek|Greek|Russian
59,WALT,English
60,CORNELIUS,Ancient Roman|English|Dutch|German|Biblical
61,KATHRYN,English
62,HUBERT,English|German|Dutch|French|Polish|Ancient Germanic
63,CURRAN,English (Rare)|Irish
64,CLOVIS,Ancient Germanic (Latinized)|French
65,MERLIN,Arthurian Romance|English
66,MAIA,Greek Mythology|Roman Mythology|Portuguese|Georgian|Roman Mythology|Basque
67,MARC,French|Catalan|Welsh
68,DOMINICK,English
69,LLOYD,English
70,ALEXSA,na
71,ELSA,English|German|Swedish|Icelandic|Finnish|Italian
